# Obtained from SDSS skyserver with this query:
#
# SELECT e.objid, e.sdss_objid, f.ra, f.dec, f.peak, f.integr, f.rms, f.major, f.minor, f.pa, f.skyrms
# FROM MyDB.EELR as e LEFT JOIN DR16.FIRST as f ON e.sdss_objid=f.objid 
# WHERE f.peak > 0
# ORDER BY e.objid
# 
# where the table EELR contained all the sources that in parent_sample matched with HSC
#
objid,sdss_objid,ra,dec,peak,integr,rms,major,minor,pa,skyrms
177,1237654604243140902,139.949196395349,2.52880838453187,1.87,2.066234,0.1495976,3.74,0,131.4,0.1521975
191,1237648720677044549,141.646484743719,-0.434325005853647,8.09,8.482118,0.141454,1.58,0.74,109.1,0.1387215
193,1237648721214898370,143.839439920156,-0.0668916644098248,45.2,57.61869,0.1539223,4.23,1.51,44.7,0.1508237
198,1237650796219728046,145.471322377034,0.15511388953568,1.98,1.625202,0.1467479,0,0,81.4,0.144457
200,1237650796756730061,145.746674623234,0.527947209219805,1.4,0.9617391,0.1506277,0,0,8.5,0.1492815
217,1237648720143712447,149.638530072686,-0.855205531378064,1.45,1.63125,0.1548049,3.1,0,90.3,0.1550604
234,1237671142017204666,175.018119669862,-1.09092773935307,9.33,9.730739,0.1424662,1.41,0.94,56.4,0.139452
236,1237674649926566078,175.162687453835,-0.306074997375567,1.34,1.622752,0.1386797,4.28,0,68.6,0.1393806
251,1237674650465665131,180.157198624981,0.0239722214213925,1.11,1.084186,0.1487329,3.49,0,12.6,0.1475377
259,1237648703503204410,183.019157170243,-0.65365833499777,1.84,1.087799,0.1588226,0,0,65.2,0.1561824
267,1237648704040534123,184.154443893326,-0.377580567961548,1.12,0.8882759,0.1532092,0,0,144.3,0.1552125
269,1237648705651343501,184.615754869868,1.04368609562845,77.41,80.55014,0.1531778,1.41,0.81,64.5,0.153902
281,1237648705124237458,206.839824391256,0.470261085676317,1.06,1.308642,0.1497893,7.19,0,38.8,0.1475318
314,1237648703517360427,215.485901314386,-0.700741657071871,1.16,1.516923,0.1477805,7,0,0.8,0.1491065
316,1237648704591429977,216.21712770655,0.138980555829287,4.86,5.534708,0.1501328,2.78,1.44,40.8,0.1507207
332,1237655499745263841,219.827497399927,-1.30695829850753,1.14,0.6148314,0.1375662,0,0,85.9,0.1373213
351,1237662300827812073,224.405445351506,43.9939280478745,149.8,152.6447,0.135705,0.93,0.5,171.6,0.1371679
371,1237661386002661565,237.146739776436,42.6963287093555,1.86,3.823975,0.1393384,7.31,3.81,24.6,0.1391085
374,1237659324416065697,240.295320380029,43.1939455564314,9.78,9.615803,0.1358737,0.5,0,19.2,0.1362852
375,1237659329775403245,240.310415098095,44.2484755378626,2.81,3.325898,0.1303097,2.74,1.83,147.1,0.130797
378,1237659325489807643,241.251669807236,43.7836504289919,4.54,4.624662,0.1367293,1.49,0,33.3,0.1399532
380,1237659331386605803,242.786809464709,44.1727902116697,1.78,2.640915,0.1279662,4.71,2.71,15.6,0.1272288
383,1237655348358152511,245.708347750101,43.0056679768654,2.21,2.7625,0.1345658,3.3,1.99,6.5,0.134708
