Name,Peaks,Peak_detection_threshold,PD_band_weighting,dimension,extra_center,color_sample_radius,color_avg_p,gal_t,jet_t,p_buffer,fiber_radius,fiber_slope,galaxy_radius,central_radius,extra_radius,jet_radius,general_slope,color_others,color_give,close_color,raise_gal_y,crush_jet_y,galaxy_constraint,monotonicUseNearest,max_iter,e_rel,traceback,update_order
SDSSJ090218+034920/, 1 118 12 90 23 17 32 33 43 108 48 73 55 0 59 59 75 116 89 28 97 16,10, 0 0 0 5 0,85,0,1,1,0.0005,0.001,15,6,1,15,40,15,10,1,1,0 0 0 0 0,0,1,0.6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ090246+012028/, 1 105 13 73 18 62 21 27 24 33 28 88 32 26 38 13 58 110 60 59 75 55 95 50 97 28 109 102 115 1,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ090249+031341/, 42 43 60 59 74 14 107 34,15, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ090254+001116/, 7 60 19 14 27 32 29 46 33 97 39 70 60 60 84 70 96 58 96 108,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ090346+044356/, 41 47 51 6 59 57 104 79 110 75,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.2,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ090650+000559/, 30 95 59 59 67 17 67 116 79 57 92 92 97 15 105 8 117 0 118 29 118 45 118 69,16, 0 0 0 5 0,85,0,1,1,0.0005,0.01,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.35,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ090650+035746/, 1 61 32 24 54 15 59 59 73 85,20, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.4,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ091113+032604/, 6 35 55 15 59 58 74 19 89 96 90 64,8, 0 0 0 5 0,85,0,1,1,0.0005,0.01,15,6,1,15,25,15,20,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ091157+014327/, 0 72 12 105 25 80 28 103 31 40 37 107 43 80 44 118 59 13 60 59 75 2 83 114 84 24 87 49 91 5 97 25 106 97,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ091400+003519/, 34 83 47 33 59 58 66 96 71 68 77 44 80 55 83 71,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,10,1,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ091442+000637/, 11 78 16 106 24 74 60 59 75 79 96 105 97 76 104 64,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ091539-012319/, 55 89 59 58 82 40 94 53 99 8,16, 0 0 0 5 0,85,0,1,1,0.0005,0.001,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.8,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ091929+051046/, 0 94 40 28 41 49 60 58 73 82 118 43,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,3,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ092158+014906/, 37 71 41 114 51 38 51 82 59 58 59 79 87 61 100 2 118 9,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ092203+004443/, 26 67 39 35 60 59 67 117 74 79 84 15 85 56 86 40 101 58 101 118 108 118 113 68,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,40,0.5,1,0 0 0 0 0,0,1,0.7,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ092223+020914/, 34 26 60 58 102 118,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ092318+003149/, 1 30 27 74 60 58 70 82 83 47 95 115 117 54,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ114353+010947/, 10 108 31 113 60 60 85 53 92 84,16, 0 0 0 5 0,85,1,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.8,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ114734+005509/, 3 82 33 24 45 97 50 10 50 60 59 57 101 25 115 110,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ115051-014132/, 9 118 15 56 26 33 47 11 59 59 78 64 99 95 100 3 110 3 112 35,12, 0 0 0 5 0,85,0,1,1,0.0005,0.015,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ115110+015850/, 1 28 59 30 59 60 60 113 74 22 92 81,20, 0 0 0 5 0,85,0,1,1,0.0005,0.025,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.2,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ120953+002940/, 39 99 41 55 50 73 52 0 53 11 59 57 70 39 78 100 81 49 82 14 83 84 87 62 107 68 111 8,8, 0 0 0 5 0,85,1,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.7,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ140049-010344/, 0 53 40 98 42 56 55 43 59 58 72 79 79 64 102 57 117 118,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.7,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ140144+002200/, 60 59 80 68 82 34 100 0 112 0,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.43,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ140215+011904/, 14 76 18 50 22 6 28 43 53 75 55 35 55 112 58 91 61 59 67 86 100 53 100 109 115 95,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ141435+012641/, 0 14 6 60 19 58 33 63 35 50 58 58 90 7,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ142124+003354/, 0 66 7 81 20 85 25 43 60 59 66 97 75 117 94 39 98 86 118 41,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ142222+524354/, 14 90 59 40 60 58 72 71 100 102,20, 0 0 0 5 0,85,0,1,1,0.0005,0.001,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ142816+001214/, 9 74 28 68 53 75 56 50 58 11 60 60 76 54 78 4 90 78 106 38 114 109,12, 0 0 0 5 0,69,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ143107+013116/, 1 17 38 86 59 58 62 84 66 19 67 118 72 108 118 48,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ143859+001400/, 10 29 23 74 25 3 44 43 47 30 59 57 69 88 75 56 94 53 97 30,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,2,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ144031+004217/, 19 28 25 48 59 57 93 78 104 65 117 109,14, 0 0 0 5 0,85,0,1,1,0.0005,0.0005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ145232+002235/, 0 81 46 111 59 58 77 92 90 92 93 60,8, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ145919+001806/, 6 104 34 73 36 42 41 116 59 12 60 58 85 64 96 98,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.7,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ150021+003722/, 45 95 58 59 101 58,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,25,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ150333+005927/, 0 41 48 32 50 47 56 102 60 58 76 69 80 40 95 92,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.9,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ155143+434758/, 41 57 53 4 59 59 64 112 76 80 80 60 97 52 107 7 114 26,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ160746+432716/, 29 18 43 30 58 55 58 91 58 106 105 118,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ160957+415303/, 0 53 57 118 60 59 85 74 100 5,16, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ162235+441136/, 14 70 41 44 58 60 96 3 117 93,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ162913+441442/, 0 42 22 45 44 20 59 59 76 71 82 79 117 113,14, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,25,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ220316+003534/, 18 63 40 6 40 117 52 48 60 61 83 70 109 57 117 78,12, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ220347+020443/, 35 51 60 58 63 86 63 111 83 46 111 46 118 0,14, 0 0 0 5 0,49,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.7,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ220356+013934/, 13 72 41 88 59 58,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ220440+005232/, 20 97 28 68 37 9 52 109 60 59 68 71 81 36 84 78 89 24 92 14 96 103 104 1 106 68 113 69,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ220526+013329/, 53 118 56 74 60 58 65 118 108 12,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,10,1,1,0 0 0 0 0,0,1,0.15,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ221053+003531/, 0 21 11 78 27 53 39 41 56 49 59 58 75 114 90 105 111 88,9, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,10,1,1,0 0 0 0 0,0,1,1.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ221456+005023/, 8 92 19 46 22 105 36 1 43 80 45 11 55 91 59 60 64 71 71 21 87 73 99 83 100 51,8, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,2,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ221911+004348/, 2 42 25 57 41 52 42 17 59 106 60 59 81 8 110 57 110 101 114 0,12, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ222310+004330/, 24 67 34 113 43 36 44 61 53 116 56 92 57 76 59 59 65 82 114 100,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.3,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ222433+003634/, 53 38 60 59 73 82 83 54 84 66 103 108 108 100,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ222631-010054/, 6 36 9 63 55 36 59 60 73 4 92 46 94 95 112 74,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,20,M,0,2000,1e-6 1e-3,0,1 0
